epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2001.61,0.94967,0.73502,0.92969,0.65302,0.51329,0.58564,0.44475,1.04823,1.03005,0.94049,0.00018093,0.00018093,0.00018093
43,2047.4,0.97216,0.72263,0.93029,0.69146,0.50024,0.57675,0.44504,1.05388,1.06565,0.93766,0.000179807,0.000179807,0.000179807
44,2093.19,0.95106,0.72564,0.92897,0.67329,0.52087,0.60124,0.46378,1.04943,1.01326,0.94877,0.000178683,0.000178683,0.000178683
45,2138.82,0.9472,0.71052,0.92208,0.58397,0.57538,0.59895,0.45751,1.04617,0.99145,0.93753,0.000177559,0.000177559,0.000177559
46,2184.59,0.92489,0.70289,0.92534,0.6352,0.55051,0.61644,0.4662,1.0198,1.01148,0.92975,0.000176436,0.000176436,0.000176436
47,2230.38,0.94269,0.71317,0.92196,0.60948,0.57804,0.58289,0.44436,1.02815,0.97757,0.9272,0.000175312,0.000175312,0.000175312
48,2275.99,0.9264,0.70502,0.92078,0.50197,0.56421,0.5151,0.38671,1.05832,1.06359,0.93869,0.000174188,0.000174188,0.000174188
49,2321.81,0.92461,0.68768,0.92031,0.56016,0.57555,0.57118,0.42696,1.05242,1.06051,0.95463,0.000173065,0.000173065,0.000173065
50,2369.83,0.92614,0.68728,0.92206,0.62713,0.55581,0.57884,0.45534,1.07905,0.99251,0.93592,0.000171941,0.000171941,0.000171941
51,2415.67,0.92251,0.68461,0.91879,0.74708,0.49696,0.60284,0.45978,1.01698,0.94348,0.9271,0.000170817,0.000170817,0.000170817
52,2461.43,0.91833,0.68564,0.91511,0.58376,0.5742,0.59963,0.46116,1.05191,1.002,0.93728,0.000169694,0.000169694,0.000169694
53,2507.24,0.91671,0.66103,0.91252,0.67245,0.56278,0.61288,0.47622,1.05435,0.9723,0.93635,0.00016857,0.00016857,0.00016857
54,2553.98,0.91863,0.66296,0.91581,0.58783,0.56569,0.58033,0.45897,1.04664,1.01469,0.9379,0.000167447,0.000167447,0.000167447
55,2599.84,0.90236,0.64433,0.91045,0.63562,0.55624,0.61347,0.48273,1.02951,0.99326,0.93432,0.000166323,0.000166323,0.000166323
56,2650.32,0.92194,0.68101,0.9258,0.70716,0.53792,0.60622,0.47587,1.00433,0.95049,0.92784,0.000165199,0.000165199,0.000165199
57,2695.7,0.9133,0.66432,0.91431,0.52828,0.56199,0.59326,0.45107,1.0437,0.98647,0.92699,0.000164076,0.000164076,0.000164076
58,2741.62,0.90476,0.65208,0.91232,0.60225,0.55363,0.61649,0.47065,1.03095,0.96443,0.93232,0.000162952,0.000162952,0.000162952
59,2787.19,0.90573,0.65057,0.91414,0.67594,0.53578,0.60411,0.45571,1.04374,0.99229,0.93239,0.000161828,0.000161828,0.000161828
60,2832.82,0.88368,0.63344,0.90723,0.68767,0.54534,0.60775,0.45952,1.04656,0.99554,0.9293,0.000160705,0.000160705,0.000160705
61,2878.89,0.88829,0.63069,0.90377,0.63702,0.53714,0.59965,0.45547,1.04943,1.03805,0.9359,0.000159581,0.000159581,0.000159581
62,2924.6,0.89028,0.63256,0.91095,0.74163,0.48688,0.56993,0.45454,1.03795,1.05721,0.93371,0.000158457,0.000158457,0.000158457
63,2970.72,0.89668,0.63292,0.90265,0.5015,0.5917,0.58989,0.4684,1.04452,1.01078,0.93469,0.000157334,0.000157334,0.000157334
64,3016.74,0.88108,0.6228,0.90414,0.74502,0.49594,0.61103,0.48992,1.02712,0.97493,0.9301,0.00015621,0.00015621,0.00015621
65,3063.23,0.87075,0.62372,0.90372,0.71962,0.53696,0.62575,0.49335,1.02154,1.05546,0.93033,0.000155086,0.000155086,0.000155086
66,3115.76,0.87337,0.60506,0.89814,0.70628,0.53501,0.6031,0.47125,1.04841,1.03105,0.93387,0.000153963,0.000153963,0.000153963
67,3161.71,0.88811,0.62542,0.90117,0.65123,0.56779,0.61084,0.47527,1.02388,0.98697,0.91983,0.000152839,0.000152839,0.000152839
68,3208.88,0.86872,0.61465,0.89565,0.7098,0.4806,0.60104,0.46029,1.04425,1.00318,0.93105,0.000151715,0.000151715,0.000151715
69,3256.76,0.86759,0.59196,0.90065,0.61773,0.56314,0.60902,0.47784,1.01995,0.96749,0.92181,0.000150592,0.000150592,0.000150592
70,3302.56,0.86281,0.5944,0.89843,0.71588,0.55569,0.6357,0.50012,1.01909,0.93339,0.92113,0.000149468,0.000149468,0.000149468
71,3355.63,0.86081,0.5966,0.89456,0.70135,0.56172,0.64059,0.49187,1.00844,0.95592,0.91827,0.000148344,0.000148344,0.000148344
72,3400.94,0.87084,0.60135,0.9018,0.65014,0.53285,0.60399,0.46488,1.03339,1.0748,0.9302,0.000147221,0.000147221,0.000147221
73,3446.72,0.86796,0.59863,0.89823,0.63262,0.55395,0.60072,0.46302,1.0232,0.97456,0.92778,0.000146097,0.000146097,0.000146097
74,3496.22,0.8658,0.60385,0.89959,0.7055,0.49569,0.60542,0.46339,1.0247,1.00847,0.9298,0.000144974,0.000144974,0.000144974
75,3542.08,0.85554,0.59406,0.90094,0.60518,0.53703,0.60209,0.47022,1.00717,0.97442,0.91986,0.00014385,0.00014385,0.00014385
76,3588.55,0.83804,0.5888,0.89745,0.7168,0.46937,0.58423,0.45168,1.02703,1.12654,0.92508,0.000142726,0.000142726,0.000142726
77,3635.93,0.83762,0.58018,0.89221,0.70299,0.5167,0.59776,0.46199,1.03323,1.02799,0.9312,0.000141603,0.000141603,0.000141603
78,3681.46,0.83057,0.57519,0.89091,0.62332,0.57344,0.61815,0.48111,1.03546,1.01961,0.92617,0.000140479,0.000140479,0.000140479
79,3727.67,0.83591,0.56136,0.89032,0.58374,0.56747,0.60686,0.46972,1.0192,1.01184,0.92555,0.000139355,0.000139355,0.000139355
80,3773.38,0.84199,0.56799,0.89431,0.64628,0.55702,0.60369,0.46662,1.03397,1.06667,0.92599,0.000138232,0.000138232,0.000138232
81,3819.48,0.83277,0.57763,0.89347,0.66387,0.54531,0.61209,0.4812,1.03806,1.013,0.92524,0.000137108,0.000137108,0.000137108
82,3865.13,0.82611,0.56053,0.88731,0.67284,0.57848,0.62396,0.49532,1.02408,1.00436,0.92057,0.000135984,0.000135984,0.000135984
83,3911.61,0.83187,0.56161,0.88938,0.7069,0.54641,0.61627,0.48457,1.0163,0.98493,0.92544,0.000134861,0.000134861,0.000134861
84,3962.24,0.82462,0.5562,0.88806,0.60803,0.56427,0.61799,0.48277,1.00977,1.02698,0.92214,0.000133737,0.000133737,0.000133737
85,4008.34,0.82649,0.5655,0.8883,0.68296,0.59307,0.64569,0.51338,1.02019,1.00044,0.93059,0.000132613,0.000132613,0.000132613
86,4059.83,0.83218,0.5665,0.89354,0.70912,0.5362,0.62283,0.48286,1.02146,1.03543,0.92393,0.00013149,0.00013149,0.00013149
87,4105.55,0.82486,0.56194,0.89019,0.68939,0.53042,0.60845,0.47469,1.01664,1.04518,0.92719,0.000130366,0.000130366,0.000130366
88,4151.51,0.81258,0.54879,0.88567,0.75272,0.5045,0.60475,0.47151,1.02893,1.01381,0.92956,0.000129242,0.000129242,0.000129242
89,4197.38,0.81982,0.54877,0.89014,0.58397,0.59196,0.61131,0.48537,1.04643,1.03049,0.92374,0.000128119,0.000128119,0.000128119
90,4243.21,0.82804,0.55281,0.8865,0.50008,0.58954,0.60777,0.4888,1.00975,1.03468,0.92155,0.000126995,0.000126995,0.000126995
91,4290.46,0.80071,0.53907,0.88487,0.76015,0.53855,0.62651,0.487,1.01787,1.042,0.92584,0.000125871,0.000125871,0.000125871
92,4340.6,0.80214,0.5407,0.88097,0.67366,0.56184,0.61495,0.47166,1.03941,0.99928,0.92561,0.000124748,0.000124748,0.000124748
93,4386.41,0.80954,0.53921,0.8831,0.66392,0.52612,0.60401,0.47728,1.02786,1.15633,0.93106,0.000123624,0.000123624,0.000123624
94,4437.06,0.80313,0.53988,0.88741,0.71965,0.51449,0.60585,0.47337,1.00779,1.028,0.92254,0.000122501,0.000122501,0.000122501
95,4482.92,0.80093,0.54064,0.88002,0.68724,0.50893,0.60604,0.4739,1.00852,1.03034,0.92729,0.000121377,0.000121377,0.000121377
96,4534.25,0.7978,0.53516,0.8828,0.70262,0.54873,0.61749,0.47483,1.01388,0.99458,0.9176,0.000120253,0.000120253,0.000120253
97,4585.93,0.7984,0.53098,0.88471,0.62465,0.57562,0.60377,0.47194,1.03849,1.03944,0.92868,0.00011913,0.00011913,0.00011913
98,4632.59,0.78432,0.52742,0.88025,0.6822,0.55074,0.62412,0.49479,1.02648,1.0445,0.928,0.000118006,0.000118006,0.000118006
99,4684.72,0.79309,0.52843,0.87852,0.74477,0.51176,0.60646,0.48508,1.02472,0.98463,0.9291,0.000116882,0.000116882,0.000116882
100,4729.94,0.7919,0.52422,0.88217,0.56207,0.59959,0.6086,0.48757,0.99603,1.02232,0.91937,0.000115759,0.000115759,0.000115759
101,4781.79,0.78631,0.52548,0.87993,0.69931,0.51587,0.58544,0.46429,1.01822,1.0123,0.92998,0.000114635,0.000114635,0.000114635
102,4832.94,0.78041,0.52576,0.8811,0.69634,0.54658,0.61459,0.48692,1.021,0.97978,0.92184,0.000113511,0.000113511,0.000113511
103,4884.04,0.77645,0.51556,0.8748,0.69402,0.56758,0.6353,0.49304,1.01484,0.95735,0.92877,0.000112388,0.000112388,0.000112388
104,4935,0.76788,0.50827,0.87624,0.76682,0.52016,0.61321,0.48127,0.9974,1.01128,0.92048,0.000111264,0.000111264,0.000111264
105,4980.67,0.76801,0.51046,0.87532,0.62802,0.57958,0.61272,0.49257,1.00847,0.99841,0.92519,0.00011014,0.00011014,0.00011014
106,5029.04,0.76826,0.51064,0.87789,0.72236,0.52024,0.61771,0.48198,1.01959,1.00783,0.92452,0.000109017,0.000109017,0.000109017
107,5074.76,0.76542,0.50366,0.87151,0.69153,0.54003,0.62196,0.491,1.01254,0.98165,0.9233,0.000107893,0.000107893,0.000107893
108,5125.64,0.77498,0.5177,0.87464,0.64142,0.56566,0.61047,0.47501,0.99973,0.94797,0.91246,0.000106769,0.000106769,0.000106769
109,5171.07,0.77704,0.51443,0.88344,0.60937,0.56657,0.61646,0.46722,1.01763,1.00523,0.92129,0.000105646,0.000105646,0.000105646
110,5217.07,0.76787,0.50175,0.87335,0.71326,0.58527,0.6481,0.50273,1.00572,0.9291,0.92779,0.000104522,0.000104522,0.000104522
111,5263.25,0.75295,0.49322,0.87328,0.67425,0.58316,0.65027,0.50638,1.00165,0.91292,0.92244,0.000103398,0.000103398,0.000103398
112,5309.26,0.76413,0.50193,0.87467,0.58306,0.59812,0.63538,0.48342,1.01746,0.98062,0.92093,0.000102275,0.000102275,0.000102275
113,5355.2,0.75474,0.496,0.8732,0.66547,0.53141,0.61462,0.48732,1.01478,1.04784,0.92284,0.000101151,0.000101151,0.000101151
114,5401,0.75767,0.49115,0.87431,0.68371,0.57435,0.64513,0.51457,0.99347,0.96455,0.91217,0.000100028,0.000100028,0.000100028
115,5446.86,0.75297,0.49817,0.87425,0.59889,0.59624,0.62992,0.49438,0.99745,0.98006,0.92115,9.89039e-05,9.89039e-05,9.89039e-05
116,5492.89,0.74619,0.48398,0.87177,0.81033,0.51193,0.63106,0.49432,1.00397,0.98052,0.9226,9.77803e-05,9.77803e-05,9.77803e-05
117,5539.19,0.76749,0.50466,0.87314,0.7168,0.55368,0.64438,0.51308,1.01096,0.9801,0.92312,9.66566e-05,9.66566e-05,9.66566e-05
118,5584.89,0.75144,0.50254,0.87563,0.77488,0.54037,0.62979,0.50757,1.01113,0.97585,0.91763,9.5533e-05,9.5533e-05,9.5533e-05
119,5630.55,0.75041,0.4939,0.87287,0.7544,0.52363,0.62346,0.4929,1.02903,0.95771,0.92631,9.44093e-05,9.44093e-05,9.44093e-05
120,5676.6,0.75355,0.49463,0.86917,0.60636,0.57195,0.61952,0.48497,1.00292,0.99873,0.91784,9.32857e-05,9.32857e-05,9.32857e-05
121,5722.6,0.7665,0.50364,0.87202,0.73968,0.52395,0.63077,0.50163,1.00873,0.98527,0.91373,9.2162e-05,9.2162e-05,9.2162e-05
122,5769.31,0.75343,0.49522,0.87191,0.78626,0.50927,0.63894,0.50038,1.00674,0.96042,0.91455,9.10384e-05,9.10384e-05,9.10384e-05
123,5815.26,0.75083,0.48833,0.86907,0.79515,0.5147,0.63797,0.49496,1.01318,0.99237,0.91672,8.99147e-05,8.99147e-05,8.99147e-05
124,5860.89,0.74235,0.48543,0.87311,0.69599,0.56075,0.63263,0.49592,0.99321,0.96056,0.91318,8.87911e-05,8.87911e-05,8.87911e-05
125,5906.9,0.7389,0.48754,0.87024,0.63655,0.57133,0.63612,0.49921,1.00165,0.97692,0.91891,8.76674e-05,8.76674e-05,8.76674e-05
126,5952.97,0.7379,0.48378,0.86883,0.70438,0.53579,0.63211,0.49902,1.00095,0.98824,0.91381,8.65437e-05,8.65437e-05,8.65437e-05
127,5998.98,0.72981,0.472,0.86937,0.71492,0.51853,0.61765,0.48178,0.99049,1.06429,0.91543,8.54201e-05,8.54201e-05,8.54201e-05
128,6044.53,0.7452,0.48421,0.86701,0.70129,0.54036,0.63975,0.49183,0.99781,0.95364,0.91786,8.42964e-05,8.42964e-05,8.42964e-05
129,6090.35,0.72766,0.47596,0.86597,0.63414,0.56295,0.62996,0.49321,1.00423,0.95269,0.92167,8.31728e-05,8.31728e-05,8.31728e-05
130,6136.3,0.72774,0.46545,0.86558,0.76263,0.51677,0.64102,0.50294,1.01128,0.92902,0.91994,8.20491e-05,8.20491e-05,8.20491e-05
131,6181.92,0.73148,0.47224,0.86788,0.58315,0.60216,0.64277,0.49623,1.00271,0.98607,0.92227,8.09255e-05,8.09255e-05,8.09255e-05
132,6227.71,0.71916,0.46542,0.86396,0.71428,0.51395,0.62915,0.48672,1.02479,0.96471,0.92195,7.98018e-05,7.98018e-05,7.98018e-05
133,6273.96,0.71846,0.4639,0.86506,0.76518,0.51504,0.63843,0.50047,1.00903,0.95931,0.91935,7.86782e-05,7.86782e-05,7.86782e-05
134,6320.31,0.72174,0.47083,0.86558,0.754,0.55118,0.63924,0.49991,1.01431,0.94192,0.91804,7.75545e-05,7.75545e-05,7.75545e-05
135,6366.24,0.71241,0.46271,0.86362,0.78424,0.5064,0.62153,0.49026,1.00511,0.95068,0.91915,7.64309e-05,7.64309e-05,7.64309e-05
136,6411.98,0.72221,0.46369,0.86434,0.75424,0.54609,0.63873,0.50159,1.00341,0.91886,0.91846,7.53072e-05,7.53072e-05,7.53072e-05
137,6458.02,0.71379,0.46085,0.86478,0.75193,0.52466,0.63413,0.49838,0.99673,0.94168,0.9166,7.41836e-05,7.41836e-05,7.41836e-05
138,6504.32,0.71465,0.45892,0.86469,0.74879,0.52714,0.62847,0.49072,0.99979,1.01505,0.92092,7.30599e-05,7.30599e-05,7.30599e-05
139,6550.29,0.70711,0.45881,0.86035,0.70279,0.52579,0.6349,0.50296,0.99574,0.99757,0.91726,7.19363e-05,7.19363e-05,7.19363e-05
140,6595.8,0.71645,0.46321,0.86496,0.62034,0.58039,0.62487,0.48939,0.99728,1.01307,0.91512,7.08127e-05,7.08127e-05,7.08127e-05
141,6641.64,0.70569,0.45489,0.86225,0.57515,0.59411,0.63252,0.50309,1.00394,0.94899,0.91243,6.9689e-05,6.9689e-05,6.9689e-05
142,6687.52,0.71302,0.46119,0.86462,0.66416,0.55136,0.63114,0.50115,0.99888,0.96308,0.91216,6.85654e-05,6.85654e-05,6.85654e-05
143,6733.45,0.70064,0.45363,0.85961,0.72485,0.52148,0.61394,0.48695,1.00002,0.97881,0.91182,6.74417e-05,6.74417e-05,6.74417e-05
144,6779.54,0.70714,0.45934,0.86244,0.74828,0.50309,0.61552,0.48994,0.99308,0.98229,0.91798,6.63181e-05,6.63181e-05,6.63181e-05
145,6826.45,0.70508,0.45287,0.86158,0.68518,0.55,0.62253,0.49411,1.0087,1.02706,0.91871,6.51944e-05,6.51944e-05,6.51944e-05
146,6872.64,0.69843,0.45526,0.86366,0.75202,0.5185,0.62342,0.4935,0.98878,0.99358,0.91729,6.40707e-05,6.40707e-05,6.40707e-05
147,6918.26,0.70543,0.45498,0.86576,0.62084,0.57985,0.63298,0.499,0.98124,0.95969,0.91003,6.29471e-05,6.29471e-05,6.29471e-05
148,6964.09,0.69626,0.45372,0.86174,0.73282,0.51797,0.63115,0.4929,0.98641,0.97548,0.91455,6.18234e-05,6.18234e-05,6.18234e-05
149,7010.02,0.70578,0.45311,0.86189,0.73524,0.52397,0.63259,0.4991,0.9963,0.99727,0.91734,6.06998e-05,6.06998e-05,6.06998e-05
150,7055.73,0.69663,0.45152,0.85923,0.62012,0.5952,0.64573,0.50878,0.98872,0.94737,0.91444,5.95762e-05,5.95762e-05,5.95762e-05
