epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,8257.37,0.64361,0.41516,0.85141,0.7328,0.54122,0.63697,0.50388,0.98825,0.9387,0.91676,3.03613e-05,3.03613e-05,3.03613e-05
177,8303.34,0.65626,0.41802,0.85147,0.76335,0.54332,0.64337,0.5073,0.99715,0.92688,0.91672,2.92376e-05,2.92376e-05,2.92376e-05
178,8349.1,0.64749,0.41076,0.84936,0.74587,0.53377,0.64154,0.50482,0.98992,0.94278,0.91266,2.81139e-05,2.81139e-05,2.81139e-05
179,8395.18,0.64251,0.41023,0.84984,0.71452,0.54336,0.64141,0.50602,0.99462,0.95444,0.91209,2.69903e-05,2.69903e-05,2.69903e-05
180,8441.52,0.641,0.41231,0.85007,0.75949,0.5327,0.64548,0.50749,0.98716,0.94164,0.90866,2.58666e-05,2.58666e-05,2.58666e-05
181,8493.26,0.65137,0.41467,0.8472,0.67465,0.54954,0.64528,0.50603,0.98717,0.94047,0.90899,2.4743e-05,2.4743e-05,2.4743e-05
182,8539.16,0.63902,0.41015,0.84965,0.62484,0.52602,0.61936,0.49886,0.98982,0.98061,0.91324,2.36193e-05,2.36193e-05,2.36193e-05
183,8584.98,0.63832,0.40571,0.85121,0.61847,0.53893,0.62285,0.49899,0.99008,0.98916,0.91296,2.24957e-05,2.24957e-05,2.24957e-05
184,8632.74,0.63063,0.40507,0.84767,0.67105,0.54665,0.64389,0.50849,0.99673,0.97215,0.91242,2.1372e-05,2.1372e-05,2.1372e-05
185,8678.37,0.64125,0.41244,0.85364,0.65397,0.53982,0.63449,0.50253,0.98505,0.95167,0.91099,2.02484e-05,2.02484e-05,2.02484e-05
186,8726.61,0.63353,0.40369,0.85128,0.69227,0.53607,0.64011,0.502,0.97673,0.98118,0.90846,1.91247e-05,1.91247e-05,1.91247e-05
187,8772.46,0.62418,0.3968,0.84832,0.67547,0.52658,0.62581,0.49748,0.98815,0.97802,0.91132,1.80011e-05,1.80011e-05,1.80011e-05
188,8818.65,0.63072,0.40305,0.84867,0.71745,0.53013,0.63745,0.50839,0.98299,0.96978,0.9075,1.68774e-05,1.68774e-05,1.68774e-05
189,8864.85,0.63654,0.40412,0.85039,0.66113,0.52971,0.63426,0.50085,0.98855,0.98286,0.90945,1.57538e-05,1.57538e-05,1.57538e-05
190,8910.34,0.62424,0.40326,0.85044,0.77311,0.51635,0.63214,0.5034,0.98905,0.98578,0.90632,1.46302e-05,1.46302e-05,1.46302e-05
191,8957.63,0.63611,0.38055,0.83488,0.77455,0.52092,0.62282,0.49802,0.99141,1.006,0.91073,1.35065e-05,1.35065e-05,1.35065e-05
192,9003.41,0.62196,0.37015,0.83184,0.74105,0.53151,0.62091,0.49348,0.9918,0.99685,0.90917,1.23829e-05,1.23829e-05,1.23829e-05
193,9048.74,0.63273,0.37589,0.83228,0.73846,0.53644,0.62166,0.49396,0.99414,0.98478,0.90867,1.12592e-05,1.12592e-05,1.12592e-05
194,9095.06,0.62499,0.37414,0.83615,0.65926,0.519,0.6065,0.4931,0.98736,0.98417,0.90913,1.01356e-05,1.01356e-05,1.01356e-05
195,9140.79,0.6305,0.37457,0.83245,0.69139,0.53706,0.62449,0.49477,0.99192,0.97304,0.91085,9.0119e-06,9.0119e-06,9.0119e-06
196,9186.17,0.60978,0.36454,0.82992,0.69041,0.53378,0.62877,0.49916,0.99163,0.97697,0.91026,7.88825e-06,7.88825e-06,7.88825e-06
197,9235.19,0.61447,0.36707,0.82922,0.70412,0.52832,0.62782,0.50277,0.98964,0.97643,0.90905,6.7646e-06,6.7646e-06,6.7646e-06
198,9280.72,0.61422,0.36684,0.83321,0.70548,0.5273,0.6286,0.49994,0.98725,0.98588,0.91063,5.64095e-06,5.64095e-06,5.64095e-06
199,9331.67,0.61084,0.36177,0.8295,0.68462,0.54203,0.63281,0.50244,0.9869,0.98484,0.90928,4.5173e-06,4.5173e-06,4.5173e-06
200,9378.68,0.61144,0.36645,0.82748,0.69623,0.53534,0.63355,0.50237,0.99054,0.98428,0.90996,3.39365e-06,3.39365e-06,3.39365e-06
